idx,train,val,test
0,patient_017_node_2_bag,patient_092_node_1_bag,patient_020_node_4_bag
1,patient_034_node_3_bag,patient_096_node_0_bag,patient_052_node_1_bag
2,patient_088_node_1_bag,patient_099_node_4_bag,patient_021_node_3_bag
3,patient_073_node_1_bag,patient_041_node_0_bag,patient_016_node_1_bag
4,patient_004_node_4_bag,,patient_010_node_4_bag
5,patient_046_node_4_bag,,patient_046_node_3_bag
6,patient_017_node_1_bag,,
7,patient_044_node_4_bag,,
8,patient_022_node_4_bag,,
9,patient_086_node_0_bag,,
10,patient_012_node_0_bag,,
11,patient_048_node_1_bag,,
12,patient_051_node_2_bag,,
13,patient_075_node_4_bag,,
14,patient_080_node_1_bag,,
15,patient_020_node_2_bag,,
