idx,train,val,test
0,patient_024_node_2_bag,patient_066_node_2_bag,patient_024_node_1_bag
1,patient_034_node_3_bag,patient_020_node_4_bag,patient_020_node_2_bag
2,patient_067_node_4_bag,patient_045_node_1_bag,patient_075_node_4_bag
3,patient_004_node_4_bag,patient_052_node_1_bag,patient_073_node_1_bag
4,patient_088_node_1_bag,,patient_068_node_1_bag
5,patient_022_node_4_bag,,patient_051_node_2_bag
6,patient_046_node_4_bag,,
7,patient_042_node_3_bag,,
8,patient_038_node_2_bag,,
9,patient_081_node_4_bag,,
10,patient_010_node_4_bag,,
11,patient_096_node_0_bag,,
12,patient_099_node_4_bag,,
13,patient_080_node_1_bag,,
14,patient_017_node_2_bag,,
15,patient_015_node_1_bag,,
