idx,train,val,test
0,patient_004_node_4_bag,patient_045_node_1_bag,patient_016_node_1_bag
1,patient_017_node_2_bag,patient_034_node_3_bag,patient_015_node_1_bag
2,patient_024_node_1_bag,patient_075_node_4_bag,patient_012_node_0_bag
3,patient_051_node_2_bag,patient_009_node_1_bag,patient_038_node_2_bag
4,patient_017_node_1_bag,,patient_061_node_4_bag
5,patient_099_node_4_bag,,patient_015_node_2_bag
6,patient_042_node_3_bag,,
7,patient_060_node_3_bag,,
8,patient_092_node_1_bag,,
9,patient_073_node_1_bag,,
10,patient_088_node_1_bag,,
11,patient_096_node_0_bag,,
12,patient_062_node_2_bag,,
13,patient_046_node_3_bag,,
14,patient_052_node_1_bag,,
15,patient_080_node_1_bag,,
