train,val,test
29200_bag,56947_bag,7329_bag
18138_bag,9183_bag,52420_bag
49872_bag,19030_bag,1101_bag
38019_bag,53688_bag,15139_bag
46815_bag,12442_bag,18568_bag
10800_bag,27315_bag,45630_bag
10246_bag,10143_bag,32432_bag
33976_bag,21445_bag,1952_bag
24617_bag,26533_bag,2666_bag
11557_bag,57162_bag,42549_bag
16325_bag,47105_bag,65022_bag
26950_bag,16876_bag,39255_bag
20316_bag,61424_bag,11431_bag
8279_bag,38849_bag,27950_bag
28562_bag,22740_bag,47960_bag
34277_bag,50048_bag,33708_bag
48502_bag,39425_bag,17854_bag
37655_bag,65533_bag,2227_bag
22155_bag,43815_bag,6558_bag
59760_bag,10896_bag,56221_bag
,4797_bag,13987_bag
,59515_bag,1020_bag
,5851_bag,24759_bag
,16064_bag,5992_bag
,15671_bag,43390_bag
,38901_bag,26219_bag
,37190_bag,66_bag
,50878_bag,58947_bag
,15209_bag,37307_bag
,17174_bag,17738_bag
,,14424_bag
