train,val,test
10246_bag,51893_bag,50878_bag
6898_bag,31033_bag,39146_bag
38849_bag,56875_bag,10896_bag
4797_bag,15209_bag,14401_bag
17854_bag,37655_bag,44232_bag
58947_bag,61493_bag,43390_bag
21910_bag,51346_bag,58895_bag
26219_bag,35754_bag,36063_bag
10800_bag,49872_bag,39255_bag
2227_bag,15188_bag,9658_bag
37307_bag,8279_bag,61320_bag
4963_bag,61424_bag,34277_bag
14424_bag,59760_bag,15139_bag
65022_bag,20316_bag,47960_bag
21445_bag,28562_bag,38019_bag
9697_bag,28393_bag,7329_bag
33708_bag,5251_bag,39466_bag
22155_bag,31383_bag,16986_bag
27315_bag,26533_bag,47105_bag
5851_bag,36678_bag,39728_bag
,19030_bag,65094_bag
,29200_bag,1020_bag
,16064_bag,63121_bag
,18568_bag,33976_bag
,9183_bag,56947_bag
,63165_bag,55287_bag
,43815_bag,35239_bag
,57162_bag,14542_bag
,52420_bag,13987_bag
,49281_bag,17291_bag
,,46688_bag
