train,val,test
39258_bag,39728_bag,34277_bag
5852_bag,8279_bag,45185_bag
26950_bag,26533_bag,29200_bag
32432_bag,34247_bag,1252_bag
7329_bag,15139_bag,15470_bag
2227_bag,47105_bag,22221_bag
4797_bag,44232_bag,59760_bag
38019_bag,17174_bag,57162_bag
5851_bag,46139_bag,24759_bag
19255_bag,21929_bag,22489_bag
48506_bag,28562_bag,1952_bag
50878_bag,37307_bag,30738_bag
1020_bag,18138_bag,10896_bag
39466_bag,12522_bag,14424_bag
38849_bag,28821_bag,47960_bag
31033_bag,63165_bag,37655_bag
51346_bag,58895_bag,49872_bag
21445_bag,10252_bag,15671_bag
11431_bag,36499_bag,39172_bag
14401_bag,22740_bag,48502_bag
,59515_bag,58947_bag
,10246_bag,31383_bag
,65094_bag,53688_bag
,6898_bag,14542_bag
,4963_bag,37190_bag
,26219_bag,10143_bag
,5251_bag,15486_bag
,1925_bag,16325_bag
,66_bag,45630_bag
,50048_bag,38901_bag
,,43815_bag
