train,val,test
59515_bag,35754_bag,39728_bag
51893_bag,2227_bag,15139_bag
33976_bag,34247_bag,46688_bag
10246_bag,50048_bag,5251_bag
46815_bag,65094_bag,44232_bag
39466_bag,5992_bag,1101_bag
51346_bag,59760_bag,39146_bag
36499_bag,39258_bag,10252_bag
8531_bag,15470_bag,17291_bag
27315_bag,21929_bag,9658_bag
61320_bag,29200_bag,24617_bag
20316_bag,1020_bag,34277_bag
9183_bag,63941_bag,37307_bag
36678_bag,42549_bag,61424_bag
49872_bag,58895_bag,27950_bag
26533_bag,14424_bag,15486_bag
43815_bag,45185_bag,32432_bag
38901_bag,31033_bag,11557_bag
38019_bag,4211_bag,11263_bag
38048_bag,1952_bag,4797_bag
,10800_bag,61823_bag
,47105_bag,31383_bag
,37190_bag,22155_bag
,24759_bag,50304_bag
,38849_bag,21432_bag
,16986_bag,40888_bag
,5852_bag,16325_bag
,28821_bag,49281_bag
,11431_bag,10143_bag
,52420_bag,16064_bag
,,14542_bag
