train,val,test
38019_bag,58895_bag,1101_bag
54949_bag,2666_bag,12522_bag
10246_bag,48502_bag,27245_bag
61320_bag,63165_bag,56221_bag
8531_bag,63941_bag,5852_bag
38849_bag,10143_bag,45185_bag
33976_bag,46815_bag,26950_bag
39425_bag,5251_bag,22489_bag
36499_bag,1952_bag,1252_bag
11263_bag,39146_bag,18568_bag
21929_bag,24759_bag,16325_bag
66_bag,36063_bag,35239_bag
21445_bag,4963_bag,20316_bag
36678_bag,2227_bag,37307_bag
55287_bag,1925_bag,34277_bag
15671_bag,7329_bag,8279_bag
10252_bag,6898_bag,33708_bag
12442_bag,21910_bag,32432_bag
49281_bag,39258_bag,18607_bag
51893_bag,27315_bag,31383_bag
,50048_bag,22740_bag
,6281_bag,4211_bag
,50304_bag,65533_bag
,31033_bag,39728_bag
,22221_bag,48506_bag
,9183_bag,16876_bag
,30738_bag,61823_bag
,59515_bag,51346_bag
,17854_bag,18138_bag
,1020_bag,65094_bag
,,34247_bag
