train,val,test
33708_bag,46688_bag,19569_bag
42549_bag,57162_bag,24759_bag
38019_bag,15671_bag,66_bag
2227_bag,43390_bag,36063_bag
9183_bag,15470_bag,27315_bag
22155_bag,22425_bag,48506_bag
51346_bag,9658_bag,56947_bag
65022_bag,12442_bag,37307_bag
35754_bag,36678_bag,56861_bag
10800_bag,39172_bag,28562_bag
26533_bag,2666_bag,37655_bag
28393_bag,11431_bag,15209_bag
12522_bag,11557_bag,63941_bag
39258_bag,38048_bag,19255_bag
34247_bag,65094_bag,39466_bag
46815_bag,16986_bag,39146_bag
59760_bag,4963_bag,20316_bag
1101_bag,33976_bag,21432_bag
39728_bag,9697_bag,16325_bag
21445_bag,17854_bag,31033_bag
,5851_bag,29200_bag
,21910_bag,16064_bag
,5251_bag,24617_bag
,22489_bag,49281_bag
,36499_bag,10143_bag
,47105_bag,14401_bag
,51893_bag,32432_bag
,4211_bag,14424_bag
,59515_bag,50304_bag
,22740_bag,17738_bag
,,5852_bag
