train,val,test
20316_bag,15671_bag,11263_bag
37190_bag,65533_bag,56875_bag
19030_bag,31383_bag,45630_bag
13987_bag,47960_bag,10896_bag
9183_bag,38019_bag,63121_bag
1952_bag,39255_bag,39425_bag
61493_bag,38849_bag,5852_bag
6281_bag,4211_bag,36678_bag
39146_bag,5251_bag,38048_bag
39466_bag,10246_bag,61424_bag
6898_bag,21432_bag,54949_bag
21445_bag,39258_bag,50048_bag
37307_bag,53688_bag,12522_bag
47105_bag,50878_bag,28393_bag
48506_bag,42549_bag,33708_bag
5851_bag,1925_bag,29200_bag
8279_bag,17738_bag,44232_bag
65094_bag,11431_bag,56861_bag
57162_bag,51893_bag,10252_bag
46688_bag,15470_bag,31033_bag
,21929_bag,58947_bag
,65022_bag,39172_bag
,22740_bag,49281_bag
,28562_bag,58895_bag
,35239_bag,63165_bag
,26533_bag,38901_bag
,36063_bag,4963_bag
,10143_bag,24759_bag
,43390_bag,22155_bag
,8531_bag,4797_bag
,,27315_bag
