train,val,test
46815_bag,61493_bag,35239_bag
8531_bag,7329_bag,8279_bag
1020_bag,14401_bag,10800_bag
63121_bag,1952_bag,39258_bag
18568_bag,36678_bag,10252_bag
61320_bag,19030_bag,46688_bag
22489_bag,21929_bag,21445_bag
16064_bag,45185_bag,36499_bag
4797_bag,47105_bag,4211_bag
9697_bag,17174_bag,39172_bag
65022_bag,51893_bag,53688_bag
2227_bag,15209_bag,16325_bag
38849_bag,45630_bag,10246_bag
50304_bag,38901_bag,12442_bag
38019_bag,49281_bag,22155_bag
10143_bag,9658_bag,27245_bag
24759_bag,55287_bag,65094_bag
37307_bag,1252_bag,43390_bag
22425_bag,19255_bag,21910_bag
17738_bag,9183_bag,15139_bag
66_bag,16986_bag,61823_bag
5852_bag,33976_bag,20316_bag
42549_bag,39728_bag,61424_bag
27315_bag,16876_bag,26950_bag
5851_bag,38048_bag,39255_bag
48506_bag,40888_bag,30738_bag
48502_bag,10896_bag,14424_bag
56221_bag,32432_bag,2666_bag
47960_bag,6898_bag,15486_bag
39466_bag,37190_bag,33708_bag
11557_bag,,51346_bag
52420_bag,,
34277_bag,,
37655_bag,,
31383_bag,,
49872_bag,,
6281_bag,,
26533_bag,,
28562_bag,,
