train,val,test
34277_bag,9658_bag,31383_bag
36499_bag,26533_bag,18138_bag
27950_bag,47105_bag,28562_bag
9183_bag,24617_bag,48506_bag
59760_bag,45630_bag,61320_bag
4963_bag,11431_bag,54949_bag
38849_bag,51893_bag,31033_bag
46139_bag,6951_bag,1925_bag
37190_bag,39258_bag,30738_bag
2227_bag,26950_bag,13987_bag
37307_bag,40888_bag,39172_bag
15486_bag,38019_bag,16325_bag
22489_bag,47960_bag,33708_bag
49281_bag,32432_bag,42549_bag
57162_bag,33976_bag,50304_bag
44232_bag,22221_bag,15139_bag
63165_bag,63941_bag,17291_bag
6898_bag,5852_bag,1952_bag
38901_bag,17738_bag,39146_bag
26219_bag,22425_bag,10246_bag
39466_bag,4797_bag,5251_bag
27245_bag,1252_bag,28393_bag
39425_bag,2666_bag,49872_bag
48502_bag,39728_bag,50048_bag
19030_bag,38048_bag,46815_bag
65094_bag,6558_bag,18568_bag
12442_bag,20316_bag,18607_bag
12522_bag,1020_bag,58895_bag
35754_bag,19255_bag,34247_bag
21445_bag,56221_bag,10252_bag
46688_bag,,10896_bag
59515_bag,,
63121_bag,,
36678_bag,,
11557_bag,,
65022_bag,,
61493_bag,,
52420_bag,,
16876_bag,,
