train,val,test
37190_bag,14542_bag,10143_bag
26533_bag,16064_bag,1020_bag
33976_bag,17854_bag,10246_bag
55287_bag,21445_bag,10800_bag
61320_bag,22425_bag,18568_bag
52420_bag,22740_bag,24759_bag
15209_bag,24617_bag,31033_bag
53688_bag,27315_bag,36678_bag
37307_bag,33708_bag,42549_bag
2227_bag,34247_bag,45185_bag
63165_bag,35239_bag,46815_bag
15486_bag,38849_bag,47960_bag
49872_bag,39728_bag,49281_bag
50048_bag,6898_bag,50304_bag
13987_bag,,5852_bag
21910_bag,,61823_bag
6951_bag,,
39466_bag,,
39258_bag,,
4797_bag,,
34277_bag,,
2666_bag,,
22155_bag,,
57162_bag,,
10252_bag,,
38019_bag,,
11431_bag,,
28393_bag,,
66_bag,,
65094_bag,,
51893_bag,,
1252_bag,,
6281_bag,,
17291_bag,,
5992_bag,,
44232_bag,,
39172_bag,,
15671_bag,,
48502_bag,,
39146_bag,,
