train,val,test
39258_bag,51893_bag,50878_bag
42549_bag,31033_bag,39146_bag
22155_bag,56875_bag,10896_bag
16325_bag,15209_bag,14401_bag
38048_bag,37655_bag,44232_bag
48502_bag,61493_bag,43390_bag
34247_bag,51346_bag,58895_bag
46815_bag,35754_bag,36063_bag
6898_bag,49872_bag,39255_bag
38901_bag,15188_bag,9658_bag
4211_bag,8279_bag,61320_bag
18607_bag,61424_bag,34277_bag
4797_bag,59760_bag,15139_bag
65022_bag,20316_bag,47960_bag
56221_bag,28562_bag,38019_bag
38849_bag,28393_bag,7329_bag
32432_bag,5251_bag,39466_bag
2227_bag,31383_bag,16986_bag
58947_bag,26533_bag,47105_bag
12442_bag,36678_bag,39728_bag
28821_bag,19030_bag,65094_bag
56861_bag,29200_bag,1020_bag
37190_bag,16064_bag,63121_bag
45185_bag,18568_bag,33976_bag
48506_bag,9183_bag,56947_bag
27950_bag,63165_bag,55287_bag
5852_bag,43815_bag,35239_bag
21445_bag,57162_bag,14542_bag
33708_bag,52420_bag,13987_bag
11431_bag,49281_bag,17291_bag
37307_bag,,46688_bag
26950_bag,,
2666_bag,,
50304_bag,,
36499_bag,,
10252_bag,,
10246_bag,,
11557_bag,,
6281_bag,,
