train,val,test
15209_bag,15671_bag,11263_bag
12442_bag,65533_bag,56875_bag
21910_bag,31383_bag,45630_bag
33976_bag,47960_bag,10896_bag
9183_bag,38019_bag,63121_bag
55287_bag,39255_bag,39425_bag
6898_bag,38849_bag,5852_bag
34277_bag,4211_bag,36678_bag
21445_bag,5251_bag,38048_bag
48506_bag,10246_bag,61424_bag
32432_bag,21432_bag,54949_bag
37190_bag,39258_bag,50048_bag
52420_bag,53688_bag,12522_bag
15486_bag,50878_bag,28393_bag
6281_bag,42549_bag,33708_bag
57162_bag,1925_bag,29200_bag
19255_bag,17738_bag,44232_bag
46815_bag,11431_bag,56861_bag
9697_bag,51893_bag,10252_bag
15139_bag,15470_bag,31033_bag
26219_bag,21929_bag,58947_bag
15188_bag,65022_bag,39172_bag
1952_bag,22740_bag,49281_bag
63941_bag,28562_bag,58895_bag
28821_bag,35239_bag,63165_bag
2227_bag,26533_bag,38901_bag
40888_bag,36063_bag,4963_bag
56221_bag,10143_bag,24759_bag
35754_bag,43390_bag,22155_bag
1252_bag,8531_bag,4797_bag
10800_bag,,27315_bag
37307_bag,,
14401_bag,,
18607_bag,,
66_bag,,
48502_bag,,
39466_bag,,
65094_bag,,
49872_bag,,
