idx,train,val,test
0,patient_062_node_2_bag,patient_017_node_4_bag,patient_024_node_2_bag
1,patient_087_node_0_bag,patient_096_node_0_bag,patient_099_node_4_bag
2,patient_009_node_1_bag,patient_042_node_3_bag,patient_015_node_1_bag
3,patient_073_node_1_bag,patient_092_node_1_bag,patient_075_node_4_bag
4,patient_086_node_4_bag,,patient_016_node_1_bag
5,patient_051_node_2_bag,,patient_066_node_2_bag
6,patient_088_node_1_bag,,
7,patient_038_node_2_bag,,
8,patient_017_node_2_bag,,
9,patient_061_node_4_bag,,
10,patient_010_node_4_bag,,
11,patient_089_node_3_bag,,
12,patient_052_node_1_bag,,
13,patient_017_node_1_bag,,
14,patient_022_node_4_bag,,
15,patient_081_node_4_bag,,
16,patient_067_node_4_bag,,
17,patient_046_node_3_bag,,
18,patient_034_node_3_bag,,
19,patient_012_node_0_bag,,
20,patient_044_node_4_bag,,
21,patient_004_node_4_bag,,
22,patient_015_node_2_bag,,
23,patient_068_node_1_bag,,
24,patient_072_node_0_bag,,
25,patient_020_node_4_bag,,
26,patient_021_node_3_bag,,
