idx,train,val,test
0,patient_080_node_1_bag,patient_067_node_4_bag,patient_015_node_1_bag
1,patient_061_node_4_bag,patient_004_node_4_bag,patient_042_node_3_bag
2,patient_038_node_2_bag,patient_073_node_1_bag,patient_089_node_3_bag
3,patient_020_node_4_bag,patient_024_node_2_bag,patient_015_node_2_bag
4,patient_046_node_3_bag,,patient_045_node_1_bag
5,patient_017_node_4_bag,,patient_068_node_1_bag
6,patient_052_node_1_bag,,
7,patient_044_node_4_bag,,
8,patient_086_node_0_bag,,
9,patient_096_node_0_bag,,
10,patient_017_node_2_bag,,
11,patient_092_node_1_bag,,
12,patient_051_node_2_bag,,
13,patient_024_node_1_bag,,
14,patient_046_node_4_bag,,
15,patient_009_node_1_bag,,
16,patient_099_node_4_bag,,
17,patient_034_node_3_bag,,
18,patient_012_node_0_bag,,
19,patient_060_node_3_bag,,
20,patient_062_node_2_bag,,
21,patient_075_node_4_bag,,
22,patient_010_node_4_bag,,
23,patient_087_node_0_bag,,
24,patient_020_node_2_bag,,
25,patient_016_node_1_bag,,
26,patient_036_node_3_bag,,
