train,val,test
47960_bag,35754_bag,39728_bag
63165_bag,2227_bag,15139_bag
26219_bag,34247_bag,46688_bag
51346_bag,50048_bag,5251_bag
59515_bag,65094_bag,44232_bag
22489_bag,5992_bag,1101_bag
49872_bag,59760_bag,39146_bag
26533_bag,39258_bag,10252_bag
6898_bag,15470_bag,17291_bag
43390_bag,21929_bag,9658_bag
56861_bag,29200_bag,24617_bag
27315_bag,1020_bag,34277_bag
51893_bag,63941_bag,37307_bag
8531_bag,42549_bag,61424_bag
22221_bag,58895_bag,27950_bag
38019_bag,14424_bag,15486_bag
14401_bag,45185_bag,32432_bag
10246_bag,31033_bag,11557_bag
17738_bag,4211_bag,11263_bag
46815_bag,1952_bag,4797_bag
55287_bag,10800_bag,61823_bag
18568_bag,47105_bag,31383_bag
33708_bag,37190_bag,22155_bag
48502_bag,24759_bag,50304_bag
39255_bag,38849_bag,21432_bag
61320_bag,16986_bag,40888_bag
56875_bag,5852_bag,16325_bag
36678_bag,28821_bag,49281_bag
18607_bag,11431_bag,10143_bag
33976_bag,52420_bag,16064_bag
1252_bag,,14542_bag
46139_bag,,
22740_bag,,
56221_bag,,
28562_bag,,
17854_bag,,
9183_bag,,
63121_bag,,
54949_bag,,
19030_bag,,
16876_bag,,
57162_bag,,
15209_bag,,
65022_bag,,
53688_bag,,
13987_bag,,
4963_bag,,
20316_bag,,
2666_bag,,
19569_bag,,
17174_bag,,
43815_bag,,
35239_bag,,
39466_bag,,
12522_bag,,
66_bag,,
45630_bag,,
50878_bag,,
36063_bag,,
21445_bag,,
56947_bag,,
48506_bag,,
18138_bag,,
22425_bag,,
