train,val,test
35754_bag,58895_bag,1101_bag
56861_bag,2666_bag,12522_bag
57162_bag,48502_bag,27245_bag
39466_bag,63165_bag,56221_bag
52420_bag,63941_bag,5852_bag
56947_bag,10143_bag,45185_bag
16064_bag,46815_bag,26950_bag
12442_bag,5251_bag,22489_bag
66_bag,1952_bag,1252_bag
44232_bag,39146_bag,18568_bag
15486_bag,24759_bag,16325_bag
19255_bag,36063_bag,35239_bag
33976_bag,4963_bag,20316_bag
39425_bag,2227_bag,37307_bag
15188_bag,1925_bag,34277_bag
37190_bag,7329_bag,8279_bag
61320_bag,6898_bag,33708_bag
14401_bag,21910_bag,32432_bag
21445_bag,39258_bag,18607_bag
56875_bag,27315_bag,31383_bag
38849_bag,50048_bag,22740_bag
17291_bag,6281_bag,4211_bag
58947_bag,50304_bag,65533_bag
38048_bag,31033_bag,39728_bag
15470_bag,22221_bag,48506_bag
40888_bag,9183_bag,16876_bag
43390_bag,30738_bag,61823_bag
28562_bag,59515_bag,51346_bag
10252_bag,17854_bag,18138_bag
49281_bag,1020_bag,65094_bag
47105_bag,,34247_bag
39172_bag,,
38901_bag,,
8531_bag,,
9658_bag,,
59760_bag,,
15139_bag,,
38019_bag,,
22425_bag,,
36678_bag,,
14542_bag,,
21929_bag,,
46688_bag,,
6951_bag,,
4797_bag,,
10246_bag,,
65022_bag,,
29200_bag,,
45630_bag,,
46139_bag,,
26219_bag,,
15209_bag,,
51893_bag,,
17738_bag,,
5851_bag,,
19569_bag,,
61493_bag,,
11557_bag,,
13987_bag,,
53688_bag,,
11263_bag,,
49872_bag,,
5992_bag,,
42549_bag,,
