train,val,test
56861_bag,14542_bag,10143_bag
49872_bag,16064_bag,1020_bag
11431_bag,17854_bag,10246_bag
58947_bag,21445_bag,10800_bag
22155_bag,22425_bag,18568_bag
37307_bag,22740_bag,24759_bag
53688_bag,24617_bag,31033_bag
43815_bag,27315_bag,36678_bag
26219_bag,33708_bag,42549_bag
37190_bag,34247_bag,45185_bag
4797_bag,35239_bag,46815_bag
14401_bag,38849_bag,47960_bag
65022_bag,39728_bag,49281_bag
65094_bag,6898_bag,50304_bag
38019_bag,,5852_bag
55287_bag,,61823_bag
39258_bag,,
63165_bag,,
10896_bag,,
9658_bag,,
57162_bag,,
2666_bag,,
12442_bag,,
45630_bag,,
15671_bag,,
39425_bag,,
36063_bag,,
21929_bag,,
66_bag,,
17291_bag,,
26533_bag,,
18138_bag,,
36499_bag,,
46688_bag,,
12522_bag,,
50878_bag,,
31383_bag,,
8279_bag,,
28821_bag,,
22221_bag,,
11557_bag,,
48502_bag,,
20316_bag,,
33976_bag,,
35754_bag,,
34277_bag,,
16325_bag,,
1925_bag,,
59515_bag,,
28562_bag,,
10252_bag,,
56947_bag,,
4211_bag,,
56875_bag,,
65533_bag,,
5851_bag,,
51893_bag,,
2227_bag,,
21910_bag,,
32432_bag,,
61493_bag,,
17174_bag,,
9183_bag,,
29200_bag,,
7329_bag,,
39146_bag,,
50048_bag,,
39466_bag,,
