train,val,test
49872_bag,15671_bag,11263_bag
65094_bag,65533_bag,56875_bag
43815_bag,31383_bag,45630_bag
12442_bag,47960_bag,10896_bag
27950_bag,38019_bag,63121_bag
1952_bag,39255_bag,39425_bag
16876_bag,38849_bag,5852_bag
21910_bag,4211_bag,36678_bag
11557_bag,5251_bag,38048_bag
66_bag,10246_bag,61424_bag
52420_bag,21432_bag,54949_bag
56947_bag,39258_bag,50048_bag
33976_bag,53688_bag,12522_bag
34277_bag,50878_bag,28393_bag
17174_bag,42549_bag,33708_bag
6951_bag,1925_bag,29200_bag
22489_bag,17738_bag,44232_bag
14424_bag,11431_bag,56861_bag
39466_bag,51893_bag,10252_bag
45185_bag,15470_bag,31033_bag
61823_bag,21929_bag,58947_bag
13987_bag,65022_bag,39172_bag
46688_bag,22740_bag,49281_bag
2227_bag,28562_bag,58895_bag
50304_bag,35239_bag,63165_bag
51346_bag,26533_bag,38901_bag
46139_bag,36063_bag,4963_bag
9697_bag,10143_bag,24759_bag
34247_bag,43390_bag,22155_bag
15486_bag,8531_bag,4797_bag
20316_bag,,27315_bag
37190_bag,,
9658_bag,,
48502_bag,,
5992_bag,,
37655_bag,,
27245_bag,,
59515_bag,,
17854_bag,,
35754_bag,,
26219_bag,,
46815_bag,,
19255_bag,,
37307_bag,,
61320_bag,,
24617_bag,,
57162_bag,,
59760_bag,,
55287_bag,,
19030_bag,,
7329_bag,,
22221_bag,,
19569_bag,,
22425_bag,,
8279_bag,,
32432_bag,,
2666_bag,,
18138_bag,,
9183_bag,,
10800_bag,,
26950_bag,,
18568_bag,,
21445_bag,,
6898_bag,,
